title,num_subscribers,course_type,level,subject,language,subtitles,price,type_ins,duration_interval
Derechos humanos: Los derechos de las personas refugiadas,28398,Self-paced on your time,Introductory,Humanities,Español,Español,49.0,Other,10-20h
Sign Language Science: Factors Contributing to Natural Learning,0,Self-paced on your time,Introductory,Language,English,English,99.0,University,10-20h
Big Data Analytics,43009,Self-paced on your time,Intermediate,Computer Science,English,English,199.0,University,80h+
"A-level Mathematics for Year 13 - Course 1: Functions, Sequences and Series, and Numerical Methods",6594,Self-paced on your time,Intermediate,Math,English,English,49.0,University,20-30h
ODS en la Agenda 2030 de las Naciones Unidas: Retos de los Objetivos de Desarrollo Sostenible,16028,Self-paced on your time,Introductory,Social Sciences,Español,"English, Español",25.0,University,20-30h
Achieving Product-Market Fit,0,Self-paced on your time,Introductory,Business & Management,English,English,199.0,University,10-20h
Culture and Law: The East Asian Perspective,0,Self-paced on your time,Introductory,Social Sciences,English,English,49.0,University,10-20h
Fundamentals of Market Structure,32049,Self-paced on your time,Introductory,Economics & Finance,English,English,25.0,Other,0-10h
Protecting Children in Humanitarian Settings,7246,Self-paced on your time,Intermediate,Social Sciences,English,English,50.0,University,40-50h
How to Achieve the Sustainable Development Goals,12719,Self-paced on your time,Intermediate,Environmental Studies,English,"English, Русский",49.0,Other,30-40h
Aprendizaje y Enseñanza en la Era Digital,16954,Self-paced on your time,Intermediate,Education & Teacher Training,Español,Español,49.0,University,10-20h
From Atoms to Stars: How Physics Explains Our World,15914,Self-paced on your time,Intermediate,Physics,English,"English, Русский",49.0,University,10-20h
The Threat of Nuclear Terrorism,0,Self-paced on your time,Introductory,History,English,English,50.0,University,10-20h
Introducción a Matemáticas para Finanzas y Negocios,0,Self-paced on your time,Advanced,Economics & Finance,Español,Español,49.99,Other,30-40h
Ingeniería de aeropuertos: diseño del lado aire según OACI (ICAO),0,Self-paced on your time,Intermediate,Engineering,Español,Español,75.0,University,30-40h
Liderazgo inclusivo,0,Self-paced on your time,Intermediate,Business & Management,Español,Español,29.0,University,20-30h
مساق اللّغة العربيّة,0,Self-paced on your time,Introductory,Language,اللغة العربية,اللغة العربية,49.0,University,20-30h
"Architecture, Algorithms, and Protocols of a Quantum Computer and Quantum Internet",8330,Self-paced on your time,Intermediate,Physics,English,English,79.0,University,40-50h
Contemporary Issues in World Politics,11426,Self-paced on your time,Introductory,Social Sciences,English,English,59.0,University,30-40h
More Fun with Prime Numbers,10604,Self-paced on your time,Intermediate,Math,English,English,49.0,University,0-10h
Enterprise Selling,5020,Self-paced on your time,Introductory,Business & Management,English,English,149.0,University,30-40h
Climate Change: Financial Risks and Opportunities,9977,Self-paced on your time,Intermediate,Economics & Finance,English,English,79.0,University,20-30h
Caer o No caer. El Secreto de las Estructuras.,20939,Self-paced on your time,Introductory,Engineering,Español,Español,29.0,University,20-30h
Mandarin Chinese Level 2,8784,Self-paced on your time,Introductory,Language,English,English,149.0,Other,40-50h
Design Thinking: Prototyping and User Testing,10769,Self-paced on your time,Intermediate,Business & Management,English,English,299.0,Institute,60-70h
Bases Matemáticas: Derivadas,24301,Self-paced on your time,Introductory,Math,Español,Español,50.0,University,10-20h
Buscar en Internet,27320,Self-paced on your time,Introductory,Computer Science,Español,Español,49.0,University,20-30h
Big Data and Education,14909,Self-paced on your time,Advanced,Data Analysis & Statistics,English,English,169.0,University,70-80h
Model-Based Automotive Systems Engineering,13857,Instructor-led on a course schedule,Advanced,Engineering,English,English,249.0,University,80h+
Introduction to Hyperledger Blockchain Technologies,138884,Self-paced on your time,Introductory,Business & Management,English,English,199.0,Other,40-50h
MathTrackX: Integral Calculus,0,Self-paced on your time,Introductory,Math,English,English,79.0,University,10-20h
Solar Energy Engineering: Comprehensive Exams,0,Self-paced on your time,Advanced,Engineering,English,English,250.0,University,40-50h
Mercados de capital y participantes claves,7210,Self-paced on your time,Introductory,Economics & Finance,Español,Español,49.0,Other,0-10h
Introducción al desarrollo de videojuegos con Unity,27474,Self-paced on your time,Intermediate,Computer Science,Español,Español,50.0,University,20-30h
Incorporating Renewable Energy in Electricity Grids,10430,Self-paced on your time,Intermediate,Energy & Earth Sciences,English,English,49.0,University,20-30h
Herramientas de la Inteligencia de Negocios,24130,Self-paced on your time,Introductory,Data Analysis & Statistics,Español,Español,49.0,University,20-30h
Overview & Management of Parkinson’s Disease,0,Self-paced on your time,Intermediate,Medicine,English,English,49.0,University,10-20h
Conociendo los costos,0,Self-paced on your time,Intermediate,Economics & Finance,Español,Español,49.0,University,30-40h
Sprint Planning for Faster Agile Team Delivery,10654,Self-paced on your time,Advanced,Engineering,English,English,199.0,University,10-20h
Introduction to Water and Climate,36320,Self-paced on your time,Intermediate,Engineering,English,English,50.0,University,70-80h
The Medieval Icelandic Sagas,11176,Self-paced on your time,Intermediate,Humanities,English,English,50.0,University,10-20h
Visual Presentation,0,Self-paced on your time,Introductory,Communication,English,English,199.0,Institute,10-20h
Community Engagement: Collaborating for Change,11818,Self-paced on your time,Introductory,Social Sciences,English,English,49.0,University,10-20h
Introducción al Internet de las Cosas (IoT),6322,Self-paced on your time,Introductory,Electronics,Español,Español,50.0,University,30-40h
"Proteins: Alignment, Analysis and Structure",23560,Instructor-led on a course schedule,Advanced,Biology & Life Sciences,English,English,249.0,University,70-80h
AI Applications with Watson,9173,Self-paced on your time,Intermediate,Computer Science,English,English,99.0,Other,0-10h
Data Analytics and Visualization in Health Care,7304,Self-paced on your time,Advanced,Data Analysis & Statistics,English,English,249.0,Institute,70-80h
Question Everything: Scientific Thinking in Real Life,34279,Self-paced on your time,Introductory,Math,English,English,59.0,University,20-30h
Introduction to Lifestyle Medicine,9002,Self-paced on your time,Introductory,Biology & Life Sciences,English,English,79.0,University,60-70h
"Social Work Practice with Individuals, Families, and Small Groups",16134,Self-paced on your time,Advanced,Social Sciences,English,English,199.0,University,70-80h
Gateway to Medicine: An Introduction to the Field of Medicine|走近医学,6938,Self-paced on your time,Introductory,Medicine,中文,"English, 中文",49.0,University,20-30h
Indian & Tibetan River of Buddhism,6738,Self-paced on your time,Intermediate,Humanities,English,English,49.99,University,30-40h
Compostaje Orgánico en Casa,0,Instructor-led on a course schedule,Introductory,Environmental Studies,Español,Español,29.0,University,20-30h
Financial Analysis for Decision Making,39156,Self-paced on your time,Introductory,Business & Management,English,English,199.0,University,20-30h
Lifestyle Medicine Treatments of Chronic Disease – Part 1,5668,Self-paced on your time,Intermediate,Medicine,English,English,179.0,University,20-30h
Building Containerized Applications on AWS,6128,Self-paced on your time,Intermediate,Computer Science,English,English,99.0,Other,10-20h
Effective Communication for Program and Project Stakeholders and Teams,0,Self-paced on your time,Introductory,Business & Management,English,English,199.0,University,20-30h
Biobased Products for a Sustainable (Bio)economy,6951,Self-paced on your time,Introductory,Biology & Life Sciences,English,English,50.0,University,50-60h
Social Work Practice: Advocating Social Justice and Change,19603,Self-paced on your time,Introductory,Social Sciences,English,English,49.0,University,10-20h
Anthropology of Current World Issues,44821,Instructor-led on a course schedule,Introductory,Humanities,English,English,99.0,University,20-30h
Buyer Behaviour and Analysis,19717,Instructor-led on a course schedule,Advanced,Communication,English,English,199.0,University,80h+
Idea Development: Create and Implement Innovative Ideas,11501,Self-paced on your time,Intermediate,Business & Management,English,English,249.0,University,80h+
Analysis of Transport Phenomena I: Mathematical Methods,9169,Instructor-led on a course schedule,Advanced,Engineering,English,English,149.0,Institute,80h+
Leading the Organization,14998,Self-paced on your time,Intermediate,Business & Management,English,English,249.0,University,80h+
"Financial Programming and Policies, Part 2: Program Design",19330,Self-paced on your time,Intermediate,Economics & Finance,English,English,25.0,Other,40-50h
Introduction to Open Source Networking Technologies,17436,Self-paced on your time,Introductory,Computer Science,English,English,169.0,Other,40-50h
Deep Learning Essentials,5018,Self-paced on your time,Intermediate,Computer Science,English,English,149.0,University,20-30h
Estadística Aplicada a los Negocios,25295,Self-paced on your time,Introductory,Data Analysis & Statistics,Español,Español,49.0,University,20-30h
"English for Journalists, Part 2",22814,Self-paced on your time,Intermediate,Communication,English,English,49.0,University,10-20h
Teaching & Learning in the Diverse Classroom,7104,Instructor-led on a course schedule,Introductory,Education & Teacher Training,English,English,99.0,University,10-20h
Fundamentals of Microeconomics | Fundamentos de Microeconomía,18456,Self-paced on your time,Introductory,Social Sciences,English,"English, Español",129.0,University,10-20h
Migrating to the AWS Cloud,0,Self-paced on your time,Intermediate,Computer Science,English,English,49.0,Other,10-20h
IoT Networks and Protocols,22136,Self-paced on your time,Introductory,Computer Science,English,English,199.0,University,20-30h
