title,rating,reviews_count,type_ins
Seeing Through Photographs,4.77599142550911,933,Other
Entrepreneurship 1: Developing the Opportunity,4.77906976744186,688,University
Introduction to Search Engine Optimization,4.585099939430648,1651,University
Learn to Speak Korean 1,4.896234309623431,1195,University
Drug Development,4.520766773162939,313,University
R Programming,4.245404868355688,4026,University
Economics of Money and Banking,4.887719298245614,285,University
Chinese for Beginners,4.796844181459566,3549,University
Grammar and Punctuation,4.75310008857396,4516,University
Japanese for beginners 1,3.611111111111111,36,University
Introduction to English Common Law,4.8392156862745095,255,University
Introduction to Dental Medicine,4.8530805687203795,211,University
Fundamentals of Reinforcement Learning,4.689655172413793,377,Institute
The Power of Macroeconomics: Economic Principles in the Real World,4.619047619047619,504,University
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,4.633333333333334,90,University
Behavioral Finance,4.124386252045826,611,University
"Sequences, Time Series and Prediction",4.453815261044177,498,Other
Supply Chain Logistics,4.710656316160903,1417,University
Project Execution,3.7222222222222223,18,University
Nutrición y obesidad: control de sobrepeso,4.789231779382797,1523,University
Microeconomics Principles,4.8293333333333335,375,University
Creative Writing: The Craft of Plot,4.648854961832061,1048,University
Astronomy: Exploring Time and Space,4.883544303797469,790,University
Oil & Gas Industry Operations and Markets,4.823214285714286,1120,University
Design Thinking for Innovation,4.667032364234778,1823,University
EDIVET: Do you have what it takes to be a veterinarian?,4.762755102040816,392,University
Learn to Program: The Fundamentals,4.734966592427617,1347,University
Financial Accounting Fundamentals,4.837772397094431,413,University
Finding Purpose and Meaning In Life: Living for What Matters Most,4.795221843003413,293,University
Understanding Clinical Research: Behind the Statistics,4.8317460317460315,630,University
Epidemiology: The Basic Science of Public Health,4.6520710059171595,845,University
Fashion as Design,4.8279773156899815,529,Other
Teamwork Skills: Communicating Effectively in Groups,4.772954924874791,599,University
Feminism and Social Justice,4.818998716302953,779,University
International Organizations Management,4.801418439716312,282,University
Marketing Digital,4.709976798143852,431,University
Fundamentals of GIS,4.852253756260434,1198,University
e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,4.542168674698795,83,University
"Excel/VBA for Creative Problem Solving, Part 1",4.817808219178082,730,University
Rethinking International Tax Law,4.854460093896714,213,University
Introduction to Probability and Data with R,4.599605522682446,1014,University
Understanding and Visualizing Data with Python,4.542207792207792,308,University
Fundamentals of Visualization with Tableau,4.304393305439331,956,University
Getting Started with SAS Programming,4.8808777429467085,319,Other
Machine Learning for All,4.675814751286449,583,University
Using Databases with Python,4.7011922503725785,2684,University
Addiction Treatment: Clinical Skills for Healthcare Providers,4.924812030075188,133,University
Dino 101: Dinosaur Paleobiology,4.9221476510067115,745,University
Sports Marketing,4.699074074074074,216,University
Positive Psychology,4.659316427783903,907,University
Introduction to Programming with MATLAB,4.811858974358974,3120,University
Preparing to Manage Human Resources,4.835942818243703,1469,University
